time,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,precipitation,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2026-06-27 04:00:00,28.8,77,24.4,1003.1,0.0,34,8.6,262,18.4
2026-06-27 05:00:00,29.0,78,24.8,1003.2,0.0,16,9.3,262,18.4
2026-06-27 06:00:00,28.8,79,24.8,1003.7,0.0,94,9.0,264,20.5
2026-06-27 07:00:00,29.4,75,24.6,1004.0,0.0,22,10.6,269,25.2
2026-06-27 08:00:00,30.2,72,24.5,1004.4,0.0,59,12.1,269,30.6
2026-06-27 09:00:00,30.9,68,24.4,1004.6,0.0,99,12.8,261,33.1
2026-06-27 10:00:00,31.3,67,24.5,1004.7,0.0,98,13.5,251,35.3
2026-06-27 11:00:00,31.7,66,24.5,1004.5,0.0,100,13.8,250,36.0
2026-06-27 12:00:00,31.7,66,24.5,1004.0,0.0,100,13.0,245,35.3
2026-06-27 13:00:00,32.4,64,24.7,1003.6,0.0,100,13.4,235,36.4
2026-06-27 14:00:00,31.7,67,24.8,1003.0,0.0,100,14.6,231,38.5
2026-06-27 15:00:00,31.3,69,25.0,1002.3,0.0,84,14.8,232,39.2
2026-06-27 16:00:00,31.1,70,25.0,1001.5,0.0,97,15.1,234,39.2
2026-06-27 17:00:00,31.3,68,24.8,1001.5,0.1,58,15.2,239,40.3
2026-06-27 18:00:00,30.6,71,24.8,1001.4,0.0,19,14.8,243,39.2
2026-06-27 19:00:00,30.0,73,24.7,1001.9,0.0,22,14.5,243,37.4
2026-06-27 20:00:00,29.6,75,24.8,1002.2,0.0,20,13.8,246,35.3
2026-06-27 21:00:00,29.4,77,24.9,1002.6,0.0,16,13.7,245,33.1
2026-06-27 22:00:00,29.3,77,24.9,1003.0,0.0,29,12.9,252,32.8
2026-06-27 23:00:00,29.1,79,25.1,1003.5,0.0,11,13.4,252,31.7
2026-06-28 00:00:00,28.9,79,24.9,1003.1,0.1,43,12.9,254,32.4
2026-06-28 01:00:00,28.6,82,25.3,1002.6,0.1,39,12.8,255,29.9
2026-06-28 02:00:00,28.5,83,25.3,1002.1,0.0,36,13.0,264,30.6
2026-06-28 03:00:00,28.3,84,25.4,1002.0,0.0,28,11.7,271,29.9
2026-06-28 04:00:00,28.3,84,25.4,1001.5,0.0,13,11.3,260,26.3
2026-06-28 05:00:00,29.0,79,24.9,1001.6,0.0,14,11.7,266,24.8
2026-06-28 06:00:00,28.9,79,24.9,1001.5,0.0,23,12.8,264,27.0
2026-06-28 07:00:00,29.2,78,24.9,1001.8,0.0,45,15.7,264,36.7
2026-06-28 08:00:00,29.9,74,24.8,1002.3,0.0,98,16.9,268,41.0
2026-06-28 09:00:00,30.7,70,24.6,1002.6,0.0,85,16.6,268,41.4
2026-06-28 10:00:00,31.5,66,24.3,1002.5,0.0,66,16.1,259,41.4
2026-06-28 11:00:00,32.1,63,24.3,1002.4,0.0,100,16.6,250,43.2
2026-06-28 12:00:00,31.9,65,24.4,1002.0,0.0,77,16.3,247,43.2
2026-06-28 13:00:00,31.9,64,24.2,1001.6,0.0,82,16.8,238,43.6
2026-06-28 14:00:00,31.9,65,24.4,1001.2,0.1,93,18.3,232,46.4
2026-06-28 15:00:00,31.1,68,24.6,1000.6,0.1,76,19.6,236,49.3
2026-06-28 16:00:00,31.1,69,24.7,1000.1,0.1,61,19.0,235,49.7
2026-06-28 17:00:00,30.7,70,24.7,999.6,0.0,63,19.6,237,48.6
2026-06-28 18:00:00,30.2,72,24.7,999.8,0.0,39,18.7,245,48.6
2026-06-28 19:00:00,29.7,75,24.7,1000.0,0.0,68,18.2,247,45.4
2026-06-28 20:00:00,29.6,75,24.6,1000.5,0.1,66,17.7,243,43.9
2026-06-28 21:00:00,29.4,76,24.7,1001.0,0.1,59,19.0,240,44.3
2026-06-28 22:00:00,29.3,77,24.9,1001.6,0.1,30,17.8,247,44.6
2026-06-28 23:00:00,29.0,78,24.8,1002.1,0.0,27,17.0,252,41.8
2026-06-29 00:00:00,28.8,80,25.0,1001.5,0.0,22,16.2,255,40.0
2026-06-29 01:00:00,28.6,81,25.1,1001.2,0.0,20,14.9,253,37.4
2026-06-29 02:00:00,28.5,82,25.1,1000.7,0.0,18,14.0,261,31.7
2026-06-29 03:00:00,28.3,82,25.0,1000.5,0.0,23,13.9,266,30.6
2026-06-29 04:00:00,28.2,83,24.9,1000.3,0.0,24,13.6,264,29.9
2026-06-29 05:00:00,28.3,82,24.9,1000.1,0.0,25,14.9,263,31.0
2026-06-29 06:00:00,28.2,82,24.9,1000.3,0.0,20,14.8,261,32.0
2026-06-29 07:00:00,28.8,79,24.7,1000.7,0.0,40,16.9,256,40.0
2026-06-29 08:00:00,29.6,74,24.5,1001.0,0.0,16,17.7,251,42.8
2026-06-29 09:00:00,30.3,70,24.3,1001.3,0.0,40,18.1,247,44.6
2026-06-29 10:00:00,30.9,67,24.0,1001.6,0.0,41,18.6,242,46.8
2026-06-29 11:00:00,31.7,62,23.5,1001.7,0.0,72,18.8,241,48.2
2026-06-29 12:00:00,31.8,60,23.2,1001.3,0.0,83,19.0,242,48.6
2026-06-29 13:00:00,32.2,59,23.3,1000.6,0.0,98,19.3,242,49.7
2026-06-29 14:00:00,32.1,60,23.3,1000.0,0.0,99,19.9,240,50.4
2026-06-29 15:00:00,31.6,62,23.3,999.5,0.0,95,19.3,243,50.4
2026-06-29 16:00:00,31.3,64,23.5,999.0,0.0,98,19.2,242,48.6
2026-06-29 17:00:00,30.9,64,23.3,999.0,0.0,95,18.7,254,47.9
2026-06-29 18:00:00,30.2,66,23.1,999.0,0.0,84,18.0,256,46.1
2026-06-29 19:00:00,29.8,69,23.4,999.1,0.0,72,17.8,252,44.3
2026-06-29 20:00:00,29.5,71,23.6,999.4,0.0,64,17.2,241,43.2
2026-06-29 21:00:00,29.2,74,24.2,1000.3,0.1,45,18.4,238,43.2
2026-06-29 22:00:00,29.2,75,24.4,1000.8,0.0,12,18.4,241,43.6
2026-06-29 23:00:00,29.1,74,24.1,1000.7,0.0,17,18.2,243,44.6
2026-06-30 00:00:00,28.9,76,24.2,1000.7,0.0,24,17.1,245,39.6
2026-06-30 01:00:00,28.8,76,24.2,1000.3,0.0,16,17.3,241,37.4
2026-06-30 02:00:00,28.7,77,24.3,999.8,0.0,12,16.2,243,37.4
2026-06-30 03:00:00,28.6,77,24.3,999.8,0.0,31,16.5,248,35.6
2026-06-30 04:00:00,28.6,77,24.3,999.7,0.0,30,17.2,252,36.7
2026-06-30 05:00:00,28.7,78,24.5,999.5,0.0,41,16.5,256,36.7
2026-06-30 06:00:00,28.7,79,24.7,999.7,0.0,36,16.3,253,35.3
